Agent_id,agent_city,agent_firm_name,agent_state
6057,Philadelphia,"Landau, Simon, Hess & Choi",Pennsylvania
6058,Houston,Fong & Associates Llp,Texas
6059,Hamden,Lamboley Law Firm. Llc,Connecticut
6060,Falls Church,Law Office Of Susan Gao Pc,Virginia
6061,Los Angeles,Partner/ Associate,California
6062,Little Rock,The Hernandez Law Firm Pllc,Arkansas
6063,Memphis,Law Offices Of K. Jayaraman,Tennessee
6064,Riverside,Immigration Law Offices Of Hadley Pc,California
6065,San Jose,Schwerin And Sumad Law Office,California
6066,Sunnyvale,Immigration Law Group Llp,California
6067,Brockton,Law Offices Of Kenneth M. Diesenhof,Massachusetts
6068,Ann Arbor,Hooper Hathaway P.C.,Michigan
6069,Alhambra,"New Rome Inc,",California
6070,Charlotte,Garfinkel Immigration Law Firm,NA
6071,San Diego,The Torres Law Firm,California
6072,Cincinnati,Musillo Unkenholt,Ohio
6073,Jackson Heights,Law Offices Of Richard La Salle,New York
6074,Edmonds,Evergreenpine Law Pllc,Washington
6075,Bradley Beach,Fw Strasser Associates Llc,New Jersey
6076,Flushing,"Yang & Associates, Pc",New York
6077,Atlanta,"Ogletree, Deakins, Nash, Smoak  & Stewart, P.C.",Georgia
6078,Iselin,"Nair Law Group, Pc",New Jersey
6079,Stamford,Jasinsky Immigration Law,Connecticut
6080,Denver,Fisher Phillips Llp,Colorado
6081,San Diego,"Fragomen, Del Reym Bernsen, & Loewy, Llp",California
6082,Santa Calra,"Fragomen, Del Rey, Bernsen & Loewy, Llp",California
6083,Woodbridge,NA,Virginia
6084,Philadelphia,Klasko Immigration Law Partners  Llp,Pennsylvania
6085,Orlando,"Lim & Associates, P.A.",Florida
6086,Louisville,Bingham Greenebaum Doll Llp,Kentucky
6087,New York,"The Banad Law Offices, Pc",New York
6088,Pasadena,Malathi Benjamin Plc,California
6089,Omaha,Curley Immigration Law,Nebraska
6090,Tucson,"Wolf And Sultan, Pc",Arizona
6091,Tulsa,Harker Law Office Plc,Oklahoma
6092,Lanham,"The Law Offices Of Purnima Mookim, Pc",Maryland
6093,Miami,Immigration Law & Litigation Group,Florida
6094,Louisville,"Indus Law Firm, Pllc",Kentucky
6095,San Francisco,"Reshma D. Parmar, Esq.",California
6096,Potomac Falls,"Law Offices Of Niloofar Adili, P.C.",Virginia
6097,Lawrenceville,"Bhagwati & Associates, Pllc.",New Jersey
6098,Ann Arbor,"Irani And Wise, Plc",Michigan
6099,Trumbull,"Kidambi & Associaes, P.C.",Connecticut
6100,Lawrenceville,"Bhagwati And Associates, Pa Llc",New Jersey
6101,Boston,"Law Offices Of Brian T. O'Neill, P.C.",Massachusetts
6102,Milwaukee,Quarles & Brady Llp,Wisconsin
6103,Bethesda,Law Offices Of Ana Ochoa Cohen,Maryland
6104,Omaha,"Mcgrath North Mullin & Kratz, Pc Llo",Nebraska
6105,Pittsburgh,"Law Offices Of Andrew Wood, Llc",Pennsylvania
6106,Houston,"Quan Law Group, Pllc",NA
6107,Mclean,Gao & Associates Pc,Virginia
