zip_id,zip,city,state
358,1798,Brambleton,Virginia
359,1798,Branchburg,New Jersey
360,33508,Brandon,Florida
361,39042,Brandon,Mississippi
362,6405,Branford,Connecticut
363,1798,Bratenahl,Ohio
364,92821,Brea,California
365,44141,Brecksville,Ohio
366,18031,Breinigsville,Pennsylvania
367,94513,Brentwood,California
368,11717,Brentwood,Missouri
369,11717,Brentwood,New York
370,37024,Brentwood,Tennessee
371,10510,Briarcliff Manor,New York
372,1798,Briarwood,New York
373,6601,Bridgeport,Connecticut
374,76426,Bridgeport,Texas
375,15017,Bridgeville,Pennsylvania
376,8807,Bridgewater,New Jersey
377,22812,Bridgewater,Virginia
378,2135,Brighton,Massachusetts
379,48114,Brighton,Michigan
380,94005,Brisbane,California
381,6010,Bristol,Connecticut
382,20136,Bristow,Virginia
383,6016,Broad Brook,Connecticut
384,1798,Broadbrook,Connecticut
385,61816,Broadlands,Virginia
386,44147,Broadview Heights,Ohio
387,1798,Broadview Hts,Ohio
388,2301,Brockton,Massachusetts
389,14716,Brocton,New York
390,74011,Broken Arrow,Oklahoma
391,10451,Bronx,New York
392,10451,Bronx,Unkown
393,10708,Bronxville,New York
394,6804,Brookfield,Connecticut
395,53005,Brookfield,Wisconsin
396,57006,Brookings,South Dakota
397,2445,Brookline,Massachusetts
398,21225,Brooklyn,Maryland
399,6234,Brooklyn,New Jersey
400,11201,Brooklyn,New York
401,6234,Brooklyn,Ohio
402,6234,Brooklyn,Unkown
403,1798,Brooklyn Center,Minnesota
404,1798,Brooklyn Park,Minnesota
405,77423,Brookshire,Texas
406,34601,Brooksville,Florida
407,4617,Brooksville,New York
408,15825,Brookville,New York
409,19008,Broomall,Pennsylvania
410,80020,Broomfield,Colorado
411,1798,Brown Deer,Wisconsin
412,35741,Brownsboro,Alabama
413,46112,Brownsburg,Indiana
414,78520,Brownsville,Texas
415,4011,Brunswick,Maine
416,44212,Brunswick,Ohio
417,77801,Bryan,Texas
418,19010,Bryn Mawr,Pennsylvania
419,7828,Budd Lake,New Jersey
420,90620,Buena Park,California
421,14201,Buffalo,New York
422,60089,Buffalo Grove,Illinois
423,30515,Buford,Georgia
424,86429,Bullhead City,Arizona
425,91501,Burbank,California
426,94010,Burlingame,California
427,1798,Burlingname,California
428,52601,Burlington,Iowa
429,41005,Burlington,Kentucky
430,1803,Burlington,Massachusetts
431,27215,Burlington,North Carolina
432,5401,Burlington,Vermont
433,1798,Burnaby,Unkown
434,55306,Burnsville,Minnesota
435,1798,Busan,Unkown
436,59701,Butte,Montana
437,49315,Byron Center,Michigan
438,12413,Cairo,Unkown
439,91302,Calabasas,California
440,4619,Calais,Maine
441,7006,Caldwell,New Jersey
442,49316,Caledonia,Michigan
443,15419,California,California
444,20619,California,Maryland
445,49913,Calumet,Michigan
446,93010,Camarillo,California
447,98607,Camas,Washington
448,11411,Cambria Heights,New York
449,2138,Cambridge,Massachusetts
450,17001,Camp Hill,Pennsylvania
451,95008,Campbell,California
452,1798,Camphill,Pennsylvania
453,44406,Canfield,Ohio
454,91303,Canoga Park,California
455,1798,Canogapark,California
456,15317,Canonsburg,Pennsylvania
457,30114,Canton,Georgia
458,2021,Canton,Massachusetts
459,48187,Canton,Michigan
460,13617,Canton,New York
461,44701,Canton,Ohio
462,79015,Canyon,Texas
463,91351,Canyon Country,California
464,78133,Canyon Lake,Texas
465,32920,Cape Canaveral,Florida
466,33904,Cape Coral,Florida
467,63701,Cape Girardeau,Missouri
468,95010,Capitola,California
469,1798,Caracas,Florida
470,62901,Carbondale,Illinois
471,92007,Cardiff By The Sea,California
472,43316,Carey,North Carolina
473,4736,Caribou,Maine
474,11514,Carle Place,New York
475,92008,Carlsbad,California
476,88220,Carlsbad,New Mexico
477,7072,Carlstadt,New Jersey
478,46032,Carmel,Indiana
479,98014,Carnation,Washington
480,15106,Carnegie,Pennsylvania
481,48723,Caro,Michigan
482,2812,Carolina,Pr
483,60110,Carpentersville,Illinois
484,27510,Carrboro,North Carolina
485,78834,Carrizo Springs,Texas
486,41008,Carrollton,Kentucky
487,75006,Carrollton,Texas
